,d,svr,en,rfr
248,1055,-4359.621842085692,-6171.689794220221,-4167.015599162914
249,1066,-4409.422751093656,-6282.955705552824,-4326.56798961772
250,1051,-4317.176657319833,-6131.72042080493,-4168.907804569217
251,1067,-4390.855063999193,-6289.832305045682,-4289.884923812435
252,1063,-4411.254247055702,-6257.41377600745,-4231.9374969823
253,1064,-4412.701562943685,-6266.063331338814,-4247.663785278187
254,1069,-4394.715411898818,-6304.165634630325,-4292.720172482672
255,1072,-4341.385936333329,-6312.244645726678,-4254.430446594893
256,1068,-4370.092676076888,-6298.077147693444,-4289.6593695722295
257,1071,-4360.322485551031,-6311.657140528484,-4292.69083246869
258,1076,-4204.016180944239,-6297.567895038497,-4130.482872538685
259,1075,-4233.185240839337,-6298.645570694871,-4130.603433749912
260,1070,-4381.142990643846,-6308.235677953719,-4280.872977781524
261,1079,-4135.680906752583,-6294.438640626108,-4091.6148671424817
262,1077,-4185.727267105993,-6298.628848828824,-4121.722839986053
263,1082,-4018.0636335715126,-6281.009526630892,-3967.6427642879235
264,1085,-3908.745703723507,-6271.13864340118,-3865.1064468257396
265,1081,-4068.3048302274833,-6289.346884640544,-4026.0248831019244
266,1083,-3980.5116175590856,-6274.333153591212,-3911.3286628929927
267,1091,-3748.788926114744,-6252.876701406611,-3737.4045771418932
268,1088,-3830.0041798590205,-6263.314066148008,-3796.0675310977826
269,1054,-4343.390689873665,-6162.116526292829,-4159.322881681935
270,1094,-3629.864762563291,-6229.579788661656,-3593.4567694860098
271,1086,-3885.8660962094036,-6268.099121968005,-3843.327684298006
272,1090,-3778.6384047018796,-6257.429042888241,-3738.422623794865
273,1096,-3548.524070709138,-6215.581862696327,-3530.2030384452437
274,1097,-3523.6444716513583,-6213.625294323741,-3496.5598344678756
275,1073,-4314.361804360957,-6308.245174305983,-4235.066426291858
276,1061,-4412.421774269359,-6239.656364526374,-4241.501011612067
277,1059,-4395.099451403699,-6218.959754897602,-4183.461175981511
278,1095,-3588.738349911417,-6221.680951713093,-3551.3276493961207
279,1100,-3432.4651964914865,-6205.170025292033,-3415.50908535411
280,1089,-3802.216874329248,-6259.971752554995,-3758.119520701822
281,1087,-3853.0775821174384,-6266.838570911112,-3839.446445598048
282,1099,-3449.563145625326,-6205.1056844498535,-3459.424018917889
283,1093,-3677.199192906041,-6239.171349661732,-3655.361230609643
284,1080,-4107.522338253909,-6293.086196204292,-4063.6757852081846
285,1078,-4169.1837116191255,-6297.657158576225,-4095.7970111526743
286,1101,-3403.5795628023734,-6205.656888205218,-3382.3239870233056
